Login,Nom,Adresse,Téléphone,Email
user1,Turpin Poirier S.A.,"5, chemin de Hoareau, 22096 Saint Julie",01 49 14 51 80,emmanuellecolas@lagarde.fr
user2,Pons,"49, chemin Garnier, 44444 Guillaume",0192535917,peltierroger@gerard.com
user3,Raynaud Duhamel S.A.,"rue Weber, 63567 Bonneau",+33 3 54 18 43 12,hlucas@millet.fr
user4,Mace S.A.R.L.,"85, boulevard de Laurent, 12602 Saint Lucie-sur-Mer",+33 (0)1 97 61 50 76,rbaron@dias.fr
user5,Simon Meunier S.A.,"1, avenue Guillon, 11133 Muller-sur-Mer",06 71 39 82 41,omarty@paul.fr
user6,Lenoir Jacques S.A.R.L.,"96, rue Martineau, 29205 Lévêque",+33 (0)8 09 40 28 24,mperon@leblanc.com
user7,Petitjean et Fils,"87, rue Blanc, 61347 Legendre-les-Bains",0236787192,hernandezmargaret@bigot.fr
user8,Barbe Torres SARL,"92, boulevard Huet, 38688 Saint Madeleine",+33 1 43 88 24 80,sebastien25@auger.org
user9,Verdier,"rue de Rousset, 83971 Sainte Danielle",+33 5 27 71 08 46,vmercier@charpentier.com
user10,Bertrand S.A.,"73, boulevard Bertrand Legrand, 27320 Delattre-la-Forêt",03 04 29 95 46,dominiquegomes@collin.com
user11,Hubert S.A.S.,"85, rue de Humbert, 75995 Tanguy",+33 5 08 76 89 10,apotier@fournier.fr
user12,Le Goff SARL,"51, chemin François Bonnet, 84148 Lefèvre",03 05 57 04 25,clercmargot@monnier.net
user13,Duhamel,"avenue Zoé Mercier, 66352 Dubois",0599121516,annegregoire@ferrand.com
user14,Buisson Dos Santos et Fils,"231, boulevard Gilbert Roche, 51537 Sainte Jeanne",+33 5 87 47 75 77,kguillou@mathieu.fr
user15,Texier SA,"52, avenue de Bertrand, 35566 Carre",+33 1 83 39 96 44,buissonlucy@humbert.com
user16,Bonnet Fabre S.A.R.L.,"83, rue Chantal Lemaire, 80642 Leduc-sur-Rocher",+33 6 25 55 20 14,margaretguillon@renault.com
user17,Martel,"12, chemin de Jacquot, 71099 Blanchard-sur-Mer",0505193510,gleveque@gay.com
user18,Bazin Bègue S.A.,"74, boulevard de Bailly, 32211 Antoine",02 29 56 09 01,martin14@georges.fr
user19,Vallet SA,"6, rue de Andre, 96383 Ollivier-la-Forêt",+33 (0)5 77 55 29 57,zacharievoisin@blanchet.com
user20,Lecoq,"91, boulevard Jules Dupuis, 25250 Lamy",0540618020,cpottier@aubert.com
user21,Jacquet S.A.S.,"212, rue de Courtois, 33309 Fischer",06 99 06 84 77,christophe14@leclerc.fr
user22,De Oliveira Carlier et Fils,"43, rue Paul, 36604 Dupuis-sur-Mer",+33 2 68 53 95 24,usimon@roy.net
user23,Prévost S.A.S.,"15, rue Marie Moreno, 04182 Carpentier-sur-Mer",+33 (0)4 66 42 42 96,claudemathieu@labbe.com
user24,Wagner,"611, avenue Anastasie Devaux, 31836 Vaillantboeuf",+33 4 66 97 21 45,maggie36@blin.fr
user25,Dumas,"24, rue Ribeiro, 56047 Saint Christelle-les-Bains",+33 (0)3 41 96 60 46,sturpin@weber.fr
user26,Boucher,"6, rue Guy Maillet, 28464 Faure",03 13 96 42 82,honoremoulin@mathieu.fr
user27,Boucher,"46, boulevard Antoine Fleury, 90874 Potier-les-Bains",+33 4 84 38 10 74,xpicard@briand.com
user28,Navarro,"93, chemin de Noël, 90799 Rodriguez",+33 (0)8 08 60 79 54,reneelecoq@tessier.org
user29,Camus,"6, boulevard Dupré, 26144 Sainte Gillesnec",0386070163,sbegue@vaillant.fr
user30,Schneider,"20, avenue Pauline Dias, 88152 Fouquetnec",+33 (0)6 82 63 51 71,mahemartine@leroy.com
user31,Michaud Colas S.A.R.L.,"49, rue Odette Lucas, 83418 Mendès-sur-Roger",+33 (0)5 26 71 90 05,isaac84@renaud.com
user32,Ledoux Grondin S.A.,"60, rue Lévêque, 94942 Bodin",06 58 86 63 55,blondelmichelle@mahe.fr
user33,Ledoux Toussaint SARL,"31, boulevard Nicolas, 08148 Sainte Robertboeuf",+33 1 66 04 92 43,zroux@diallo.fr
user34,Gomes Julien SA,"96, chemin Thibaut Foucher, 49849 HoarauBourg",+33 6 31 24 79 58,noel81@hardy.org
user35,Roussel,"504, boulevard de Mary, 41797 Marydan",0358490958,oceane98@julien.com
user36,Payet SA,"rue Constance Bazin, 34032 Dos Santos-sur-Deschamps",+33 (0)1 11 65 45 85,isaacfontaine@leleu.fr
user37,Aubry S.A.R.L.,"18, chemin Inès Martin, 85701 Guyot-la-Forêt",+33 (0)2 36 47 09 72,ada-silva@guyot.org
user38,Lagarde,"44, chemin Lacroix, 20176 Sainte Édouard",+33 (0)5 40 07 52 85,wcharpentier@buisson.fr
user39,Bouvet,"821, chemin Stéphanie Camus, 86228 Ramosboeuf",01 11 38 32 92,anouk96@martineau.net
user40,Lelièvre et Fils,"chemin Jean Ferreira, 24952 Saint ConstanceBourg",04 05 30 12 31,lerouxbrigitte@diallo.com
user41,Gautier Pruvost SARL,"75, avenue de Lemaître, 45412 Vaillant",03 67 24 58 03,jerome@perez.com

